,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[3, 0]",0.0,0.0,0.0,0.0,0.0,0.0,8000.0,8000.0,
"beta[3, 1]",0.002,0.258,-0.436,0.49,0.003,0.003,11165.0,5353.0,1.0
"beta[3, 2]",0.007,0.382,-0.641,0.689,0.004,0.004,14197.0,6008.0,1.0
"beta[3, 3]",-0.002,0.454,-0.842,0.767,0.005,0.005,12063.0,4885.0,1.0
"beta[3, 4]",-0.009,0.512,-0.908,0.932,0.006,0.005,10303.0,5146.0,1.0
"beta[3, 5]",-0.017,0.651,-1.106,1.178,0.01,0.007,3779.0,5127.0,1.0
"beta[3, 6]",0.002,0.635,-1.104,1.192,0.007,0.006,11677.0,5496.0,1.0
"beta[3, 7]",-0.708,0.771,-2.118,0.068,0.012,0.009,4437.0,3150.0,1.0
"beta[3, 8]",-0.009,0.716,-1.265,1.316,0.007,0.007,13175.0,5472.0,1.0
"beta[3, 9]",-0.015,0.763,-1.432,1.309,0.007,0.007,13482.0,5763.0,1.0
"beta[3, 10]",0.013,0.826,-1.576,1.455,0.008,0.01,13725.0,5413.0,1.0
"beta[3, 11]",0.005,0.891,-1.491,1.631,0.009,0.009,12802.0,5815.0,1.0
"beta[3, 12]",-0.001,0.917,-1.665,1.588,0.009,0.009,12670.0,5136.0,1.0
"beta[3, 13]",-0.0,0.959,-1.654,1.738,0.01,0.01,13387.0,6096.0,1.0
"beta[3, 14]",0.007,0.989,-1.918,1.684,0.009,0.01,13321.0,5858.0,1.0
"beta[3, 15]",-0.008,1.019,-1.8,1.889,0.01,0.011,13909.0,5236.0,1.0
"beta[3, 16]",-0.019,1.084,-1.833,1.925,0.012,0.013,11868.0,5261.0,1.0
"beta[3, 17]",-0.817,0.954,-2.495,0.266,0.016,0.011,3925.0,1568.0,1.0
"beta[3, 18]",1.263,1.294,0.051,3.563,0.021,0.015,3993.0,3091.0,1.0
"beta[3, 19]",0.251,0.674,-0.623,1.388,0.01,0.008,5067.0,2388.0,1.0
"beta[3, 20]",-0.851,0.953,-2.623,0.128,0.016,0.011,3969.0,3409.0,1.0
"beta[3, 21]",-0.26,0.686,-1.543,0.718,0.01,0.008,5304.0,2720.0,1.0
"beta[3, 22]",1.988,1.908,0.188,5.348,0.032,0.023,3856.0,4751.0,1.0
"beta[3, 23]",0.73,0.926,-0.329,2.415,0.014,0.01,4159.0,1376.0,1.0
"beta[3, 24]",-0.211,0.67,-1.462,0.85,0.01,0.007,5563.0,3035.0,1.0
"beta[3, 25]",2.607,2.451,0.295,6.821,0.042,0.03,3779.0,4474.0,1.0
"beta[3, 26]",0.399,0.763,-0.655,1.922,0.012,0.008,4920.0,1747.0,1.0
"beta[3, 27]",1.317,1.38,-0.012,3.923,0.022,0.016,4042.0,3085.0,1.0
"beta[3, 28]",-0.908,1.083,-2.897,0.391,0.017,0.013,4312.0,1956.0,1.0
"beta[3, 29]",-0.826,1.077,-2.844,0.383,0.017,0.012,4124.0,1222.0,1.0
"beta[3, 30]",0.005,1.44,-2.634,2.685,0.015,0.014,10925.0,4898.0,1.0
"beta[3, 31]",-0.921,1.086,-2.979,0.245,0.017,0.012,3956.0,1338.0,1.0
